         2100186 function calls (2097893 primitive calls) in 1.131 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    115/1    0.000    0.000    1.131    1.131 {built-in method builtins.exec}
        1    0.000    0.000    1.131    1.131 solution.py:1(<module>)
        1    0.000    0.000    0.999    0.999 solution.py:85(solve2)
        1    0.203    0.203    0.999    0.999 solution.py:67(walk_cave)
   259230    0.305    0.000    0.375    0.000 priority_queue.py:23(add_task)
       13    0.001    0.000    0.296    0.023 __init__.py:1(<module>)
   327991    0.171    0.000    0.291    0.000 solution.py:49(get_moves_with_elephant)
    155/2    0.001    0.000    0.132    0.066 <frozen importlib._bootstrap>:1002(_find_and_load)
    155/2    0.001    0.000    0.132    0.066 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
    223/2    0.000    0.000    0.132    0.066 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
    365/1    0.001    0.000    0.132    0.132 {built-in method builtins.__import__}
    143/2    0.001    0.000    0.132    0.066 <frozen importlib._bootstrap>:659(_load_unlocked)
    114/2    0.000    0.000    0.132    0.066 <frozen importlib._bootstrap_external>:844(exec_module)
        1    0.000    0.000    0.132    0.132 __init__.py:2(<module>)
        1    0.000    0.000    0.131    0.131 parsers.py:2(<module>)
   180/15    0.001    0.000    0.129    0.009 <frozen importlib._bootstrap>:1033(_handle_fromlist)
    68762    0.029    0.000    0.119    0.000 priority_queue.py:37(pop_task)
   580343    0.105    0.000    0.115    0.000 solution.py:24(get_possible_moves)
    76145    0.090    0.000    0.090    0.000 {built-in method _heapq.heappop}
        1    0.000    0.000    0.035    0.035 multiarray.py:1(<module>)
        1    0.000    0.000    0.035    0.035 overrides.py:1(<module>)
   259229    0.031    0.000    0.031    0.000 {built-in method _heapq.heappush}
      114    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:916(get_code)
    38847    0.014    0.000    0.022    0.000 priority_queue.py:32(remove_task)
      151    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      152    0.001    0.000    0.020    0.000 re.py:289(_compile)
  143/140    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
       30    0.000    0.000    0.019    0.001 sre_compile.py:759(compile)
       26    0.000    0.000    0.019    0.001 re.py:250(compile)
        1    0.000    0.000    0.019    0.019 _add_newdocs_scalars.py:1(<module>)
   259246    0.017    0.000    0.017    0.000 {built-in method builtins.next}
      150    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
      150    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
        1    0.000    0.000    0.017    0.017 platform.py:3(<module>)
    28/26    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
    28/26    0.012    0.000    0.015    0.001 {built-in method _imp.create_dynamic}
  228/227    0.005    0.000    0.014    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.014    0.014 py3k.py:1(<module>)
      114    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      385    0.004    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
      114    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
      314    0.001    0.000    0.012    0.000 overrides.py:170(decorator)
       30    0.000    0.000    0.012    0.000 sre_parse.py:939(parse)
   101/30    0.001    0.000    0.011    0.000 sre_parse.py:435(_parse_sub)
   119/32    0.004    0.000    0.011    0.000 sre_parse.py:493(_parse)
    33344    0.011    0.000    0.011    0.000 {method 'union' of 'frozenset' objects}
    68762    0.010    0.000    0.010    0.000 priority_queue.py:20(__bool__)
        1    0.000    0.000    0.010    0.010 index_tricks.py:1(<module>)
        1    0.000    0.000    0.010    0.010 numeric.py:1(<module>)
    39002    0.008    0.000    0.008    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.008    0.008 subprocess.py:10(<module>)
        1    0.000    0.000    0.008    0.008 _pep440.py:1(<module>)
        1    0.000    0.000    0.008    0.008 pathlib.py:1(<module>)
       30    0.000    0.000    0.007    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.007    0.007 _pickle.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _pep440.py:285(Version)
      284    0.001    0.000    0.006    0.000 overrides.py:88(verify_matching_signatures)
    28/18    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1179(exec_module)
    28/18    0.001    0.000    0.006    0.000 {built-in method _imp.exec_dynamic}
   230/30    0.002    0.000    0.006    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.006    0.006 _internal.py:1(<module>)
     1941    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        2    0.000    0.000    0.005    0.003 shape_base.py:1(<module>)
      114    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
        1    0.000    0.000    0.005    0.005 defmatrix.py:1(<module>)
      670    0.001    0.000    0.005    0.000 solution.py:35(cost_per_minute)
      618    0.001    0.000    0.005    0.000 _inspect.py:96(getargspec)
      314    0.001    0.000    0.004    0.000 function_base.py:475(add_newdoc)
        1    0.000    0.000    0.004    0.004 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.004    0.004 pickle.py:1(<module>)
      143    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      711    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        1    0.000    0.000    0.004    0.004 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.003    0.003 linalg.py:1(<module>)
        1    0.000    0.000    0.003    0.003 numerictypes.py:1(<module>)
      325    0.002    0.000    0.003    0.000 functools.py:35(update_wrapper)
      670    0.003    0.000    0.003    0.000 solution.py:38(<listcomp>)
      711    0.003    0.000    0.003    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.003    0.003 secrets.py:1(<module>)
      228    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
     1941    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        1    0.000    0.000    0.003    0.003 version.py:1(<module>)
